Animal	Tag	Sex	Group	Notes	FirstVisitDateTime	LastVisitDateTime	LastVisitedCorner	VisitNumber	VisitDuration	NosepokeNumber	NosepokeDuration	LickNumber	LickDuration	LickContactTime	PlaceErrorsPercent	PlaceErrorsTotal	SideErrorsPercent	SideErrorsTotal	TimeErrorsPercent	TimeErrorsTotal	ConditionErrorsPercent	ConditionErrorsTotal
C57 A 1	981098104282931	Male	C57 A					0	0	0	0	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0
C57 A 2	981098104281654	Male	C57 A					0	0	0	0	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0
C57 A 3	981098104282989	Male	C57 A					0	0	0	0	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0
C57 A 4	981098104282431	Male	C57 A		2012-08-31 11:47:18.718	2012-08-31 11:52:39.375	2	12	94.858	23	16.016	0	0	0	83.3	10	78.3	18	0.0	0	0.0	0
C57 A 5	981098104282496	Male	C57 A					0	0	0	0	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0
C57 A 6	981098104281799	Male	C57 A					0	0	0	0	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0
C57 A 7	981098104282860	Male	C57 A					0	0	0	0	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0
C57 A 8	981098104282884	Male	C57 A					0	0	0	0	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0
C57 A 9	981098104282669	Male	C57 A					0	0	0	0	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0
C57 A 10	981098104281067	Male	C57 A		2012-08-31 11:50:57.968	2012-08-31 11:53:42.781	1	4	174.125	29	43.187	0	0	0	75.0	3	93.1	27	0.0	0	0.0	0
C57 A 11	981098104282249	Male	C57 A					0	0	0	0	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0
C57 B 1	981098104282972	Male	C57 B					0	0	0	0	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0
C57 B 2	981098104282678	Male	C57 B					0	0	0	0	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0
C57 B 3	981098104282715	Male	C57 B					0	0	0	0	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0
C57 B 4	981098104281031	Male	C57 B					0	0	0	0	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0
C57 B 5	981098104282639	Male	C57 B					0	0	0	0	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0
C57 B 6	981098104281496	Male	C57 B					0	0	0	0	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0
C57 B 7	981098104282835	Male	C57 B					0	0	0	0	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0
C57 B 8	981098104281312	Male	C57 B					0	0	0	0	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0
C57 B 9	981098104281754	Male	C57 B					0	0	0	0	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0
C57 B 10	981098104282689	Male	C57 B		2012-08-31 11:50:44.828	2012-08-31 11:51:35.781	2	4	17.235	6	4.045	0	0	0	100.0	4	100.0	6	0.0	0	0.0	0
C57 B 11	981098104282294	Male	C57 B					0	0	0	0	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0
C57 B 12	981098104281461	Male	C57 B		2012-08-31 11:53:06.765	2012-08-31 11:53:06.765	2	1	10.516	3	4.062	0	0	0	100.0	1	100.0	3	0.0	0	0.0	0
