Animal	Tag	Sex	Group	Notes	FirstVisitDateTime	LastVisitDateTime	LastVisitedCorner	VisitNumber	VisitDuration	NosepokeNumber	NosepokeDuration	LickNumber	LickDuration	LickContactTime	PlaceErrorsPercent	PlaceErrorsTotal	SideErrorsPercent	SideErrorsTotal	TimeErrorsPercent	TimeErrorsTotal	ConditionErrorsPercent	ConditionErrorsTotal
C57 A 1	981098104282931	Male	C57 A		2012-08-28 13:45:15.703	2012-08-28 15:28:49.187	1	49	859.8	183	253.942	344	62.077125	32.2	79.6	39	77.0	141	0.0	0	0.0	0
C57 A 2	981098104281654	Male	C57 A		2012-08-28 13:45:05.562	2012-08-28 15:23:12.421	2	50	697.588	142	146.814	35	15.151625	11.424	74.0	37	62.7	89	0.0	0	0.0	0
C57 A 3	981098104282989	Male	C57 A		2012-08-28 13:45:02.187	2012-08-28 15:33:13.156	2	82	1126.982	314	333.145	284	50.982875	27.688	79.3	65	79.6	250	0.0	0	0.0	0
C57 A 4	981098104282431	Male	C57 A		2012-08-28 13:48:46.343	2012-08-28 15:32:44.140	2	69	876.195	261	231.631	127	34.971	24.961	72.5	50	68.2	178	0.0	0	0.0	0
C57 A 5	981098104282496	Male	C57 A		2012-08-28 13:48:21.125	2012-08-28 15:31:53.906	2	37	475.869	86	146.441	196	32.2695	19.493	64.9	24	65.1	56	0.0	0	0.0	0
C57 A 6	981098104281799	Male	C57 A		2012-08-28 13:45:18.765	2012-08-28 15:03:08.468	2	22	390.19	73	149.159	195	33.62875	21.962	63.6	14	58.9	43	0.0	0	0.0	0
C57 A 7	981098104282860	Male	C57 A		2012-08-28 13:47:24.203	2012-08-28 15:32:15.281	1	61	1157.409	192	346.457	511	66.397	30.074	68.9	42	73.4	141	0.0	0	0.0	0
C57 A 8	981098104282884	Male	C57 A		2012-08-28 13:46:51.734	2012-08-28 15:32:29.562	2	60	545.394	123	99.161	22	7.1875	4.732	80.0	48	72.4	89	0.0	0	0.0	0
C57 A 9	981098104282669	Male	C57 A		2012-08-28 13:47:45.093	2012-08-28 15:33:28.062	4	59	800.681	171	261.023	528	86.17775	39.634	79.7	47	83.6	143	0.0	0	0.0	0
C57 A 10	981098104281067	Male	C57 A		2012-08-28 13:45:25.687	2012-08-28 15:28:30.187	4	54	941.9	158	320.873	849	106.43525	53.152	79.6	43	75.9	120	0.0	0	0.0	0
C57 A 11	981098104282249	Male	C57 A		2012-08-28 13:47:51.875	2012-08-28 15:01:51.796	3	39	832.939	236	298.429	69	81.844375	74.219	69.2	27	78.8	186	0.0	0	0.0	0
C57 B 1	981098104282972	Male	C57 B		2012-08-28 13:45:13.531	2012-08-28 15:32:33.875	1	63	630.324	152	258.394	501	73.426	11.004	77.8	49	80.9	123	0.0	0	0.0	0
C57 B 2	981098104282678	Male	C57 B		2012-08-28 13:45:48.062	2012-08-28 15:31:46.046	4	59	1098.548	216	386.823	417	65.83075	7.756	72.9	43	78.2	169	0.0	0	0.0	0
C57 B 3	981098104282715	Male	C57 B		2012-08-28 13:46:15.062	2012-08-28 15:33:01.265	1	86	977.86	237	312.707	564	74.86725	14.532	77.9	67	76.4	181	0.0	0	0.0	0
C57 B 4	981098104281031	Male	C57 B		2012-08-28 13:49:18.906	2012-08-28 15:32:45.015	4	26	314.781	78	82.179	8	1.71875	0.168	80.8	21	67.9	53	0.0	0	0.0	0
C57 B 5	981098104282693	Male	C57 B					0	0	0	0	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0
C57 B 6	981098104281496	Male	C57 B		2012-08-28 13:53:59.265	2012-08-28 15:31:54.296	2	20	300.626	62	138.938	148	26.12	2.534	60.0	12	48.4	30	0.0	0	0.0	0
C57 B 7	981098104282835	Male	C57 B					0	0	0	0	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0
C57 B 8	981098104281312	Male	C57 B					0	0	0	0	0	0	0	0.0	0	0.0	0	0.0	0	0.0	0
C57 B 9	981098104281754	Male	C57 B		2012-08-28 13:45:29.562	2012-08-28 15:33:06.515	3	57	519.813	134	180.225	242	34.6715	5.432	71.9	41	72.4	97	0.0	0	0.0	0
C57 B 10	981098104282689	Male	C57 B		2012-08-28 13:45:02.156	2012-08-28 15:26:51.203	1	66	527.361	108	93.96	2	0.40625	0.056	74.2	49	73.1	79	0.0	0	0.0	0
C57 B 11	981098104282294	Male	C57 B		2012-08-28 13:51:53.875	2012-08-28 15:15:13.578	4	14	253.423	46	137.51	233	35.680125	3.766	57.1	8	69.6	32	0.0	0	0.0	0
C57 B 12	981098104281461	Male	C57 B		2012-08-28 13:49:53.906	2012-08-28 15:32:13.398	2	30	314.562	62	107.922	134	21.122625	2.688	80.0	24	82.3	51	0.0	0	0.0	0
